id,created_at,text
987760201548877824,2018-04-21 18:29:18,https://t.co/wia5cHpolC #y4w #gigindia
983431077510475777,2018-04-09 19:46:54,KL Rahul - Fastest IPL fifty - 52 runs in 15 balls https://t.co/Hy68FfBGWV via @YouTube
981668127896416256,2018-04-04 23:01:34,https://t.co/drJW7rtPOg
866784753067884545,2017-05-22 22:36:03,Studying..
857551142544453633,2017-04-27 11:04:59,Help me Win this Awesome Competition from &amp; @kirill_eremenko! https://t.co/MAdGPGw128
857547638178172928,2017-04-27 10:51:04,I'm closer to Win Full Access Ticket to my fav #DataScience event thanks to @kirill_eremenko &amp; https://t.co/MAdGPGepDy
856772890112294912,2017-04-25 07:32:29,I'm closer to Win Full Access Ticket to my fav #DataScience event thanks to @kirill_eremenko &amp; https://t.co/MAdGPGepDy
854790005503479809,2017-04-19 20:13:13,"Please tell me what you really think about me, honestly and anonymously - https://t.co/bOmyV8eEhv #sayatme #feedback"
820904031274967040,2017-01-16 08:02:27,RT @BetaNews: Giveaway: Win Linux-friendly Raspberry Pi and Eleduino Aluminum Case with Heatsinks! https://t.co/7Zwk9eUSC4 https://t.co…
774899459515744256,2016-09-11 09:16:42,Honor International Giveaway! #giveaway https://t.co/exyKYQLn5q
740500478262288384,2016-06-08 11:07:26,Giveaway: 25 OnePlus Loop VR Headsets https://t.co/HTzctE7Ak5 via @fonearena
740499798491435008,2016-06-08 11:04:44,Check out giveaway of @OnePlus_IN Loop VR headset #OnePlusFoneArena - https://t.co/HTzctE7Ak5
712317528177946624,2016-03-22 16:38:27,Check out Evo Gamepad Pro2 Giveaway #AmketteFoneArena- https://t.co/vYL6D7Wy39
706113102069108736,2016-03-05 13:44:17,RT @FoneArena: SanDisk Connect Wireless Stick Giveaway https://t.co/jmWxeuKOpQ https://t.co/UKAUCUjQLv
706113025548267520,2016-03-05 13:43:58,Check out giveaway of Connect Wireless Stick #SanDiskFoneArena - https://t.co/BTjdxbtEbo
660427742748381184,2015-10-31 12:06:58,5 reasons to Choose Opera Max for data management on your Android phone https://t.co/gDvx4qn9oQ and tame #HungryApps https://t.co/lnqd5n1WEq
659321268395597824,2015-10-28 10:50:14,Join &amp; @fonearena's #OperaMax #HungryApps giveaway and stand chance to win smartphones
659321061490556928,2015-10-28 10:49:25,RT @OperaIndia: CONTEST: Win smartphones by sharing screenshot from #OperaMax showing #HungryApps that eat most of your data https://t.c…
659320447796772864,2015-10-28 10:46:58,5 reasons to Choose Opera Max for data management on your Android phone https://t.co/gDvx4qn9oQ and tame #HungryApps https://t.co/C5MeH2MHh7
627075098873196545,2015-07-31 11:15:28,Enter the @qualcomm_in #QualcommFoneArena giveaway to win one of the Microsoft Lumia 640XL Dual Sim http://t.co/p3Rk52OAIP
